File,Fitness (Output 1),Fitness (Output 2),Accuracy
points_prob210_10.txt,808.6969131386327,843.5217557937616,95.8714944320128
points_prob210_100.txt,822.5798676605825,838.7805160782041,98.06854736047408
points_prob210_11.txt,790.9452328161794,848.7568347307023,93.18867318071547
points_prob210_12.txt,815.1385009139155,818.37863421419,99.6040789477128
points_prob210_13.txt,792.4243408972206,840.1323122648926,94.32137406558532
points_prob210_14.txt,846.62515402793,819.5678633587701,103.30140942304315
points_prob210_15.txt,843.1799086303793,886.4400943140276,95.11978463506603
points_prob210_16.txt,820.9775018992051,1097.1834609365565,74.82590935142407
points_prob210_17.txt,871.7073888923815,859.8057533661863,101.38422375979685
points_prob210_18.txt,809.2652649795868,918.0740282731325,88.14814928397315
points_prob210_19.txt,839.3784183307889,837.0174315011652,100.28207140505894
points_prob210_2.txt,809.8779257374714,1097.931524442803,73.76397413750206
points_prob210_20.txt,830.3820419592568,842.5149994330633,98.55991199183742
points_prob210_21.txt,830.6248031049149,870.6279646393546,95.40525193777684
points_prob210_22.txt,812.5689104097693,862.8369888623251,94.1740932410842
points_prob210_23.txt,828.432739216246,843.1561893631819,98.25376954677209
points_prob210_24.txt,844.5731634470242,860.1980481514652,98.1835712440852
points_prob210_25.txt,818.8882314188218,879.1341538817616,93.14712979845821
points_prob210_26.txt,815.0989260253822,848.0116864932129,96.11883173403719
points_prob210_27.txt,806.269949709537,849.932819343352,94.8627857825812
points_prob210_28.txt,839.9127387274466,1047.2295806134484,80.20330539512078
points_prob210_29.txt,814.9462247381948,875.8194460517806,93.04956956733446
points_prob210_3.txt,818.7511382380242,1076.0118037429122,76.09127849620184
points_prob210_30.txt,810.5316185894956,1080.6660233192474,75.00297049221197
points_prob210_31.txt,808.4141186724526,266.9605546422521,302.8215609440093
points_prob210_32.txt,818.7962838145221,839.1700157814918,97.57215682354948
points_prob210_33.txt,839.3903157590495,846.9317280498409,99.10956077792052
points_prob210_34.txt,823.1779475972796,868.8248437308686,94.74613364673435
points_prob210_35.txt,829.2308881006937,856.1683179549419,96.85372265133667
points_prob210_36.txt,818.0660181194887,863.9114524495187,94.69327160786668
points_prob210_37.txt,838.3725085871112,851.5759728789687,98.44952597156777
points_prob210_38.txt,824.5910282609123,874.0424274072836,94.34221982872599
points_prob210_39.txt,816.8684265711365,853.937694378297,95.65901961569357
points_prob210_4.txt,817.5425080421869,853.9893641216747,95.73216510524423
points_prob210_40.txt,809.4687121715779,850.8222892607952,95.1395752542936
points_prob210_41.txt,829.7852916431717,842.837232688715,98.45142804098644
points_prob210_42.txt,821.927770236625,877.0028203117934,93.72008290057857
points_prob210_43.txt,803.307141263122,1074.1985835809462,74.78199594950303
points_prob210_44.txt,837.7352433995727,835.2609677469583,100.29622785550347
points_prob210_45.txt,828.5746555519681,874.3661168566522,94.76289618022889
points_prob210_46.txt,797.6447147414641,862.0498421760965,92.52883948426314
points_prob210_47.txt,837.7901633432331,1055.8837072961599,79.3449276235726
points_prob210_48.txt,820.9667795282362,872.867634590546,94.05398332971116
points_prob210_49.txt,808.2499627027948,1056.8008122991378,76.48082337715046
points_prob210_5.txt,820.7032670806666,832.14991740482,98.62444854169408
points_prob210_50.txt,838.6514793316474,856.6278732193697,97.90149323297598
points_prob210_51.txt,806.6149645383522,877.0729687528567,91.96668843703034
points_prob210_52.txt,840.0480680573462,56.17613336589184,1495.3825009383677
points_prob210_53.txt,785.4345261757892,878.3143838769377,89.42521500203941
points_prob210_54.txt,840.1158053126719,1034.922890795839,81.17665700356056
points_prob210_55.txt,828.979753650164,878.2143524868386,94.39378339727003
points_prob210_56.txt,821.9978347258796,861.8205348062208,95.37923518040849
points_prob210_57.txt,806.361168326292,854.2636703040937,94.39253902009555
points_prob210_58.txt,819.0797725629146,831.4827674367639,98.50832809054067
points_prob210_59.txt,809.4943580754835,852.8219149976265,94.91950709049691
points_prob210_6.txt,809.0901425701336,1059.7193131897484,76.34947598857828
points_prob210_60.txt,795.0443546445555,1067.7926130310423,74.45681351809861
points_prob210_61.txt,812.3505641799084,822.4745197570494,98.7690858094751
points_prob210_62.txt,836.1619117986454,845.7354288535947,98.86802459394112
points_prob210_63.txt,829.6281034358308,868.6195410270352,95.51110287651349
points_prob210_64.txt,836.4495888841361,862.2121597878264,97.0120380916421
points_prob210_65.txt,826.5594456362486,871.6321865576266,94.82892651091905
